Department Level 1,Department Level 2,Department Level 3,Role,Employment type,Time with organisation,,Age group,Gender,Which of the following building blocks do you work in? ,Mobility outside the office,Your main office location,"Other offices (including clients, partners, suppliers or serviced offices)",Working while travelling between locations,Home,Elsewhere,"Working from home, what type of work setting do you use most often?","In your workplace, what type of work setting do you use most often?",Mobility inside the office,"Individual focused work, desk based",Individual focused work away from your desk,Individual routine tasks,Reading,Collaborating on focused work,Collaborating on creative work,"Informal, un-planned meetings",Planned meetings,Informal social interaction,Business confidential discussions,Private conversations,Telephone conversations,Thinking/creative thinking,Learning from others,Audio conferences,Spreading out paper or materials,Using technical/specialist equipment or materials,Relaxing/taking a break,Larger group meetings or audiences,"Hosting visitors, clients or customers",Video conferences,Meeting rooms (large),Meeting rooms (small),Desk/room booking systems,Quiet rooms for working alone or in pairs,Informal work areas/break-out zones,Accessibility of colleagues,Variety of different types of workspace,Desk,Chair,Ability to personalise my workstation,Space between work settings,Dividers (between desk/areas),People walking past your workstation,Personal storage,Shared storage,Archive storage,General décor,Plants & greenery,Art & photography,Atriums & communal areas,Air quality,Temperature control,Noise levels,Natural light,Office lighting,Mail & post room services,IT Help desk,"Hospitality services (e.g. guest reception/services, catering, meeting services)",Restaurant/canteen,"Tea, coffee & other refreshment facilities","Leisure facilities onsite or nearby (e.g. gym, fitness/wellness centre)",Reception areas,General tidiness,General cleanliness,Security,Health & safety provision,"Access (e.g. lifts, stairways, ramps)",Internal signage,Shower facilities,Toilets/W.C.,"Parking (e.g. car, motorbike or bicycle)",Telephone equipment,Printing/copying/scanning equipment,"Computing equipment, fixed (desktop)","Computing equipment, mobile (e.g. laptop, tablet)",Wired in-office network connectivity,WiFi network connectivity in the office,Remote access to work files or network,Audio-Visual equipment,Guest/visitor network access,Workplace culture,"Corporate image (for visitors, clients, potential recruits etc.)",Environmental sustainability,It enables me to work productively,It enables us to work productively,It supports me sharing ideas/knowledge amongst colleagues,It creates an enjoyable environment to work in,It contributes to a sense of community at work,It's a place I'm proud to bring visitors to,The design of my workplace is important to me,What aspects of the Pier 4 *space* are your favorite and what could we work to improve?
Consulting,Principal,Technology Advantage,People Manager,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,20,60,10,10,0,A non-work specific home location (such as a dining table),A private office assigned solely to you,I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,0,0,2,2,3,3,3,0,0,2,0,0,-1,0,0,2,3,3,-1,0,2,-3,1,1,1,1,2,2,0,0,0,0,0,0,0,1,-3,0,0,2,2,2,0,1,-1,2,1,1,2,1,-2,2,2,0,0,0,0,0,-2,0,2,0,0,0,0,2,0,0,0,2,2,2,3,3,2,2,3,2,3,"highlights: high number of rooms typically easily available, work stations set up very well in terms of flex of open but still relatively private, relatively airy and open spaces (though, ceilings are noticably lower than old location), good mix of open seating / lounge spaces scattered across                               to fix: the fact that we don't have fully enclosed toilet doors is unacceptable given the number of times this was raised in previous location; the set-up of bathroom in general is fairly cramped, and the sinks are so poorly designed resulting in splashes everywhere --- it's actually quite a departure from the rest of the spaces when you go into the bathroom, which is jarring given how well thought out everything else is. "
Consulting,Other,,People Manager,Full time,Over 12 years,,45-54,Female,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,60,15,0,25,0,A dedicated work room or office,A quiet room/private office (available for flexible use),I perform some of my activities at a single work setting but often use other locations within the office,1,0,0,0,2,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,0,2,3,2,-1,1,2,3,0,3,1,The cafe and baristas are by far my favorite. It’s a great meeting point. It impresses candidates in the recruiting process. Some days it’s hard to find some quiet working space for heads down thinking. I don’t  concentrate well in noisy environments
NAMR ,Core Staff (CS) ,Marketing,Individual Contributor,Full time,0 - 6 months,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,90,5,5,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,1,2,1,0,3,0,-2,3,3,0,0,0,0,0,0,-3,0,0,0,0,0,1,1,1,-1,2,0,0,0,1,-2,0,-2,0,-2,0,0,1,1,1,0,0,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,1,2,2,-1,0,0,0,1,0,2,1,0,0,2,2,2,2,2,3,2,2,3,2,"I really enjoy the atmosphere of the office, but due to the flexible/unassigned workstations, the office is lacking the personalization of the people who work here as we are unable to make our workstations ""our own"""
Consulting,Consultant,,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,50,30,10,10,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,3,3,3,2,3,-1,0,2,3,2,3,0,0,0,3,0,2,0,1,1,0,0,1,0,2,2,0,0,0,0,-1,0,0,2,0,2,2,2,-1,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,3,3,1,3,3,3,3,3,3,3,
Center for Knowledge Analytics (CKA),Analytics,,People Manager,Full time,3 - 8 years,,35-44,Male,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,80,0,0,20,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,3,0,0,0,3,3,3,3,1,1,3,0,3,0,0,0,3,0,0,3,2,0,2,1,2,-1,2,2,2,-2,0,0,0,1,2,0,2,1,1,2,0,2,1,2,2,0,2,2,2,2,2,0,2,2,0,0,2,2,2,-1,0,0,0,0,0,0,0,0,0,0,3,3,1,2,2,3,3,3,3,3,"Favorite: baristas, gym/shower facilities.  Improve: small meeting room availability, restroom sink and paper towel clutter"
Other,,,Individual Contributor,Full time,18 months - 3 years,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A dedicated work room or office,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,3,2,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,1,3,3,2,2,1,2,2,
Consulting,Local BST,,Individual Contributor,Full time,18 months - 3 years,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,2,2,2,0,3,3,1,3,1,0,-1,1,3,1,3,-1,0,1,0,3,3,2,1,1,1,1,0,1,1,1,-1,-1,1,-1,-1,-1,0,0,2,0,2,2,0,0,2,1,-1,2,2,2,2,2,0,1,1,2,0,0,0,1,1,-1,0,-1,1,1,0,2,0,0,0,2,2,1,2,2,1,1,2,3,3,
Consulting,Global / Regional BST,,Individual Contributor,Full time,8 - 12 years,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A cubicle assigned solely to you,I perform the majority of my activities at a single work setting but also use other locations within the office,-1,-3,1,0,0,0,0,0,0,-2,-2,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,2,2,2,2,0,-2,-2,2,-1,1,2,2,2,2,0,2,2,0,2,0,0,0,2,2,0,2,0,1,0,0,1,0,2,0,1,3,0,-2,1,1,-1,1,3,3,
Global Services (GS),Senior Manager / Director (SM),Finance,Senior Leader,Full time,3 - 8 years,,55-64,Male,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,65,20,10,5,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,-1,0,0,-1,0,0,0,-2,0,-2,0,-2,-2,0,0,-2,0,0,2,0,0,2,0,-1,-1,0,0,0,1,1,-3,-1,0,-1,-1,0,0,2,0,0,2,0,0,0,2,2,0,2,0,-3,2,2,0,1,1,0,0,0,0,2,1,1,-1,2,-3,1,0,0,0,0,-1,2,3,0,0,0,0,1,0,2,2,The building and spaces are very well designed and very attractive. All the natural light is great. The free seating/office access does not work and is a source of frustration
NAMR ,Core Staff (CS) ,Marketing,Individual Contributor,Full time,3 - 8 years,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform most/all of my activities at a single work setting and rarely use other locations within the office,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,0,-2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,It's cold...
Global Services (GS),Senior Manager / Director (SM),"Operation Services (Travel, Meetings, Real Estate, Procurement & Production)",Senior Leader,Full time,3 - 8 years,,45-54,Female,Pier 4 - Global Services ,I regularly work there but primarily work off-site or work elsewhere,50,10,0,40,0,A dedicated work room or office,A flexible/non-allocated workstation,I use multiple work settings and rarely base myself at a single location within the office,2,0,0,0,3,2,3,3,2,0,2,3,0,0,3,0,0,3,0,3,3,2,2,1,1,2,1,2,2,1,0,1,0,0,1,0,0,2,2,1,2,1,1,1,2,1,0,2,1,2,1,0,0,1,-1,0,1,1,1,0,1,0,1,2,1,1,0,2,1,1,1,3,3,1,2,3,3,3,2,3,3,"I love love love this office!  The roof terrace and barista are two of my favorite spaces, but more importantly I like all the different places I can choose to work.  On days when I have lots of meetings, I often choose to sit in the café in between.  I wish more people did this! In terms of improvements, it seems that housekeeping needs some improvement, although it seems better recently.  Restrooms, stairs, and some hallways are a bit neglected on some days."
Consulting,Other,,People Manager,Full time,3 - 8 years,,25-34,Female,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,75,0,0,25,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,-1,2,2,0,2,0,-1,3,0,0,0,3,0,-1,1,0,0,3,0,0,3,0,2,-1,-1,-1,1,0,2,2,-2,0,-1,0,-1,0,0,0,0,0,2,0,-1,-1,2,2,0,2,2,-1,2,0,0,1,1,2,2,0,0,0,1,-1,2,2,0,2,0,2,2,2,2,-1,3,2,-2,-2,2,-1,-1,3,2,"Barista is an amazing touch. Open seating makes it very difficult for those that are in the office M-F. Come Fridays, typical workgroups are displaced because more people are in the office, so what works M-R for those in GAMMA or non-consulting roles makes for a very unproductive Friday. In addition to the workspace displacement, there are no offices left available or small meetings rooms to have 1:1 working sessions. The open seating also encourages informal conversations that carry on for 30-60 minutes at a time, disrupting work productivity. "
Consulting,Local BST,,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,3,0,0,3,0,3,3,0,0,0,3,0,3,0,0,3,3,0,0,2,2,2,0,2,2,2,2,2,0,0,0,0,2,0,0,2,0,0,2,0,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2,0,0,2,2,2,2,2,2,0,0,3,3,2,3,3,3,3,3,3,3,The space itself is beautiful and very functional! 
Consulting,Project Leader,Consumer,People Manager,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I rarely work there and primarily work elsewhere,20,55,5,10,10,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I use multiple work settings and rarely base myself at a single location within the office,3,3,0,0,3,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,3,3,3,3,3,3,3,3,3,3,
Center for Knowledge Analytics (CKA),Analytics,,Individual Contributor,Full time,6 - 18 months,,18-25,Male,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,3,2,0,0,2,0,1,2,1,2,0,3,0,0,0,0,0,2,0,0,1,1,1,1,2,1,1,1,2,2,0,0,1,1,1,0,0,1,2,0,1,1,0,1,1,1,1,2,1,2,2,0,-1,1,1,1,0,1,1,1,1,0,0,2,1,1,0,1,1,1,0,1,3,2,2,2,2,2,1,3,2,The barista is the best feature and I really enjoy the workstations. Provides for a very productive place to work throughout the day. 
Consulting,Project Leader,Marketing & Sales,People Manager,Full time,3 - 8 years,,35-44,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,20,70,0,10,0,A dedicated work area (but not a separate room),A quiet room/private office (available for flexible use),I perform most/all of my activities at a single work setting and rarely use other locations within the office,-1,0,1,0,-2,-2,-1,-1,0,-2,0,-2,0,0,-2,0,0,0,0,0,-2,0,0,0,-1,0,0,0,-1,0,0,0,-1,-2,-1,0,0,0,0,0,0,0,-2,-1,0,-2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,-1,0,-1,1,0,0,0,1,1,0,0,-2,1,0,-2,-2,0,-3,-3,0,3,
Other,,,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A private office assigned solely to you,I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,0,0,0,0,3,3,3,3,3,3,0,3,0,0,0,3,0,0,0,2,2,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,2,2,0,0,-1,0,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,-1,2,2,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,"favorite: 12th floor cafe, barista, the floor to ceiling windows, kitchens, decor"
NAMR ,"Manager, Supervisor, Specialist (MSS)",Finance,Individual Contributor,Full time,18 months - 3 years,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,0,0,3,2,3,3,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,2,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,2,2,0,1,1,2,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,2,3,-1,2,2,3,2,1,3,1,"the building is beautiful and the coffee/ tea/ snack are great. The temperature in the building is still very cold, to the point where it has actually hindered my work (impacts my mood, physical shivering makes it hard to type sometimes). The lights in the main desk areas are also typically too bright or too dim and won't let us manually adjust them."
NAMR ,Senior Manager (SM) ,Finance,Senior Leader,Full time,8 - 12 years,,35-44,Female,Pier 4 - NAMR ,I regularly work there but primarily work off-site or work elsewhere,60,0,10,30,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,-1,0,0,2,0,2,1,-1,3,-3,-2,1,-1,1,1,-2,0,0,-2,0,2,-2,1,-1,0,1,2,1,-1,1,-2,2,2,2,-2,0,-2,2,2,2,2,2,1,1,2,-1,0,2,2,0,2,2,0,0,0,-1,0,0,-2,0,1,0,2,2,1,-1,2,2,-1,1,1,3,2,2,2,2,2,2,1,2,3,"I'd like to have a larger locker and dedicated space to put my notebooks, pens and my BCG awards. "
NAMR ,Core Staff (CS) ,Finance,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,,0,1,0,1,0,1,2,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,1,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,-2,-1,1,1,0,0,-1,1,-1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,0,1,1,My favorite part about the Pier 4 space is the view.  My lease favorite part about the Pier 4 space is the commute. 
